name,temperature,humidity,cloudiness,wind_speed,latitude,longitude
Port Moresby,32.0,59,20,6.7,-9.44,147.18
Isangel,29.0,74,75,2.6,-19.55,169.27
Mayskiy,3.66,93,50,1.0,47.69,40.1
Powell River,13.09,58,75,1.5,49.85,-124.54
Severodvinsk,0.0,98,90,3.07,64.56,39.83
Virú,23.89,67,40,2.44,-8.42,-78.75
Severnoye,9.49,76,67,5.15,56.35,78.36
Novonukutskiy,6.03,54,89,5.95,53.7,102.71
Banagher,8.33,93,100,6.71,53.19,-7.99
Kruisfontein,13.16,84,72,1.43,-34.0,24.73
Den Helder,7.14,87,90,5.7,52.96,4.76
Saint-Louis,24.0,53,39,3.1,16.33,-15.0
Formosa do Rio Preto,21.09,80,6,0.58,-11.05,-45.19
Ardakān,11.0,93,0,1.0,32.31,54.02
Nsanje,21.64,92,51,1.23,-16.92,35.26
Giyani,18.76,78,79,2.72,-23.3,30.72
Yushu,18.11,25,0,2.74,44.8,126.53
Albanel,-3.0,53,5,5.7,48.88,-72.45
Kilindoni,28.47,76,100,10.63,-7.91,39.67
Nyimba,20.42,67,3,3.18,-14.56,30.81
Portree,5.0,79,0,2.68,57.41,-6.19
Preobrazheniye,10.87,48,99,3.82,42.9,133.91
Saint-Pierre,20.79,73,0,4.6,-21.34,55.48
Natchitoches,19.69,94,90,2.26,31.77,-93.13
Rincon,18.26,88,40,2.6,32.3,-81.24
Doha,23.17,73,60,1.5,25.29,51.53
Am Timan,24.11,13,42,1.77,11.03,20.28
Ivolginsk,9.0,39,20,8.0,51.75,107.28
Pemberton,9.3,63,100,0.05,50.32,-122.8
Bherāmāra,30.06,66,72,5.77,24.02,88.99
Malmesbury,11.67,84,65,2.85,-33.46,18.73
Shitanjing,15.56,33,98,2.24,39.23,106.34
Nikel,0.0,96,100,13.9,69.41,30.22
Kharabali,10.83,67,100,5.87,47.42,47.26
Ulladulla,20.29,37,2,4.1,-35.35,150.47
Poum,26.12,74,93,3.73,-20.23,164.02
Belomorsk,0.06,96,99,5.49,64.52,34.77
Monroe,0.67,86,90,2.6,43.15,-77.68
Mindelheim,7.74,81,75,1.0,48.05,10.48
Ovalle,16.16,62,2,0.56,-30.6,-71.2
Raja,23.27,16,87,1.2,8.46,25.68
Ürümqi,16.0,48,99,1.0,43.8,87.6
San Mateo,32.92,62,40,2.6,14.7,121.12
Macklin,1.38,77,100,4.26,52.33,-109.93
Zmeinogorsk,9.75,52,0,1.82,51.16,82.19
Pangai,28.0,69,75,6.2,-19.8,-174.35
Sayyan,14.99,40,27,0.85,15.17,44.32
Mudkhed,35.65,19,47,3.51,19.17,77.52
Georgiyevka,13.0,62,0,3.0,43.04,74.71
